brand	alias
Exxon Mobil	EM
UnitedHealth Group	UG
CVS Health	CH
Berkshire Hathaway	BH
Costco Wholesale	CW
Cardinal Health	CH
Cigna Group	CG
Marathon Petroleum	MP
Valero Energy	VE
General Motors	GM
Ford Motor	FM
AT&T	ATandT
Verizon Communications	VC
Bank of America	BA
Home Depot	HD
Elevance Health	EH
General Electric	GE
Archer Daniels Midland	ADM
Procter & Gamble	Procter and Gamble
Procter & Gamble	PG
Johnson & Johnson	Johnson and Johnson
Johnson & Johnson	JJ
Dell Technologies	DT
State Farm Insurance	SFI
Kaiser Permanente	KP
T-Mobile US	TMobile US
Lockheed Martin	LM
American International Group	AIG
Walgreens Boots Alliance	WBA
Tyson Foods	TF
Liberty Mutual Insurance Group	LMIG
U.S. Postal Service	UPS
General Dynamics	GD
Delta Air Lines	DAL
Best Buy	BB
Prudential Financial	PF
Charter Communications	CC
United Airlines Holdings	UAH
American Express	AE
Coca-Cola	CocaCola
Coca-Cola	CC
New York Life Insurance	NYLI
Northrop Grumman	NG
Gilead Sciences	GS
Morgan Stanley	MS
Publix Super Markets	PSM
Goldman Sachs Group	GSG
Cisco Systems	CS
Hewlett Packard Enterprise	HPE
Bristol-Myers Squibb	BristolMyers Squibb
Bristol-Myers Squibb	BMS
Massachusetts Mutual Life Insurance	MMLI
PNC Financial Services Group	PFSG
Thermo Fisher Scientific	TFS
Abbott Laboratories	AL
HCA Healthcare	HH
Philip Morris International	PMI
Micron Technology	MT
Honeywell International	HI
Capital One Financial	COF
Tenet Healthcare	TH
US Foods Holding	FH
Plains GP Holdings	PH
Applied Materials	AM
StoneX Group	SG
EOG Resources	ER
Reinsurance Group of America	RGA
Hartford Financial Services Group	HFSG
Warner Bros. Discovery	WBD
Mondelez International	MI
Eli Lilly	EL
Lincoln National	LN
Duke Energy	DE
Northwestern Mutual	NM
PBF Energy	PE
General Mills	GM
Kraft Heinz	KH
Arrow Electronics	AE
Dollar General	DG
Automatic Data Processing	ADP
Occidental Petroleum	OP
Enterprise Products Partners	EPP
Southwest Airlines	SA
Molina Healthcare	MH
CBRE Group	CG
DISH Network	DN
Sherwin-Williams	SherwinWilliams
Sherwin-Williams	SW
Dominion Energy	DE
American Airlines Group	AAG
Pacific Gas and Electric	Pacific Gas & Electric
Pacific Gas and Electric	PGAE
DXC Technology	DT
Freeport-McMoRan	FreeportMcMoRan
Freeport-McMoRan	FM
Boston Scientific	BS
NextEra Energy	NE
Kimberly-Clark	KimberlyClark
Kimberly-Clark	KC
Penske Automotive Group	PAG
D.R. Horton	DH
Group 1 Automotive	GA
Becton Dickinson	BD
Cognizant Technology Solutions	CTS
Stanley Black & Decker	Stanley Black and Decker
Stanley Black & Decker	SBD
Marriott International	MI
Bank of New York Mellon	BNYM
Xcel Energy	XE
Edison International	EI
Truist Financial	TF
Norfolk Southern	NS
Union Pacific	UP
GXO Logistics	GL
Parker-Hannifin	ParkerHannifin
Parker-Hannifin	PH
Public Service Enterprise Group	PSEG
Waste Management	WM
Consolidated Edison	CE
Synchrony Financial	SF
Illinois Tool Works	ITW
Fidelity National Financial	FNF
Lam Research	LR
PayPal Holdings	PH
U.S. Bancorp	UB
Booking Holdings	BH
Emerson Electric	EE
Hilton Worldwide Holdings	HWH
Genuine Parts	GP
Kinder Morgan	KM
Ross Stores	RS
State Street	SS
Colgate-Palmolive	ColgatePalmolive
Colgate-Palmolive	CP
Advanced Micro Devices	AMD
Estee Lauder	EL
Marsh & McLennan	Marsh and McLennan
Marsh & McLennan	MM
Tractor Supply	TS
C.H. Robinson	CR
NRG Energy	NE
O'Reilly Automotive	OA
