brand,alias
Douglas McMillon,Walmart
Douglas McMillon,CEO
Andrew Jassy,Amazon
Andrew Jassy,CEO
Stephen Hemsley,UnitedHealth
Stephen Hemsley,CEO
Timothy Cook,Apple
Timothy Cook,CEO
David Joyner,CVS Health
David Joyner,CEO
Warren Buffett,Berkshire Hathaway
Warren Buffett,CEO
Sundar Pichai,Alphabet
Sundar Pichai,CEO
Darren Woods,Exxon Mobil
Darren Woods,CEO
Brian Tyler,McKesson
Brian Tyler,CEO
Robert Mauch,Cencora
Robert Mauch,CEO
James Dimon,JPMorgan Chase
James Dimon,CEO
Ron Vachris,Costco
Ron Vachris,CEO
David Cordani,Cigna
David Cordani,CEO
Satya Nadella,Microsoft
Satya Nadella,CEO
Jason Hollar,Cardinal Health
Jason Hollar,CEO
Michael Wirth,Chevron
Michael Wirth,CEO
Brian Moynihan,Bank of America
Brian Moynihan,CEO
Mary Barra,General Motors
Mary Barra,CEO
James Farley Jr.,Ford Motor
James Farley Jr.,CEO
Gail Boudreaux,Elevance Health
Gail Boudreaux,CEO
Jane Fraser,Citi
Jane Fraser,CEO
Mark Zuckerberg,Meta
Mark Zuckerberg,CEO
Sarah London,Centene
Sarah London,CEO
Edward Decker,Home Depot
Edward Decker,CEO
Priscilla Almodovar,Fannie Mae
Priscilla Almodovar,CEO
Timothy Wentworth,Walgreens
Timothy Wentworth,CEO
Ronald Sargent,Kroger
Ronald Sargent,CEO
Mark Lashier,Phillips 66
Mark Lashier,CEO
Maryann Mannen,Marathon Petroleum
Maryann Mannen,CEO
Hans Vestberg,Verizon
Hans Vestberg,CEO
Jensen Huang,Nvidia
Jensen Huang,CEO
David Solomon,Goldman Sachs
David Solomon,CEO
Charles Scharf,Wells Fargo
Charles Scharf,CEO
Lane Riggs,Valero Energy
Lane Riggs,CEO
Brian Roberts,Comcast
Brian Roberts,CEO
Jon Farney,State Farm
Jon Farney,CEO
John Stankey,AT&T
John Stankey,CEO
Michael Hutchins,Freddie Mac
Michael Hutchins,CEO
James Rechtin,Humana
James Rechtin,CEO
Edward Pick,Morgan Stanley
Edward Pick,CEO
Brian Cornell,Target
Brian Cornell,CEO
Philip Smith,StoneX
Philip Smith,CEO
Elon Musk,Tesla
Elon Musk,CEO
Michael Dell,Dell Technologies
Michael Dell,CEO
