brand,company
Douglas McMillon,CEO
Andrew Jassy,CEO
Stephen Hemsley,CEO
Timothy Cook,CEO
David Joyner,CEO
Warren Buffett,CEO
Sundar Pichai,CEO
Darren Woods,CEO
Brian Tyler,CEO
Robert Mauch,CEO
James Dimon,CEO
Ron Vachris,CEO
David Cordani,CEO
Satya Nadella,CEO
Jason Hollar,CEO
Michael Wirth,CEO
Brian Moynihan,CEO
Mary Barra,CEO
James Farley Jr.,CEO
Gail Boudreaux,CEO
Jane Fraser,CEO
Mark Zuckerberg,CEO
Sarah London,CEO
Edward Decker,CEO
Priscilla Almodovar,CEO
Timothy Wentworth,CEO
Ronald Sargent,CEO
Mark Lashier,CEO
Maryann Mannen,CEO
Hans Vestberg,CEO
Jensen Huang,CEO
David Solomon,CEO
Charles Scharf,CEO
Lane Riggs,CEO
Brian Roberts,CEO
Jon Farney,CEO
John Stankey,CEO
Michael Hutchins,CEO
James Rechtin,CEO
Edward Pick,CEO
Brian Cornell,CEO
Philip Smith,CEO
Elon Musk,CEO
Michael Dell,CEO
Ramon Laguarta,CEO
Robert Iger,CEO
Carol Tomé,CEO
Joaquin Duato,CEO
Rajesh Subramaniam,CEO
Juan Luciano,CEO
Jon Moeller,CEO
Marvin Ellison,CEO
Thomas Long,CEO
Christopher Calio,CEO
Susan Morris,CEO
Kevin Hourican,CEO
Susan Patricia Griffith,CEO
Stephen Squeri,CEO
James Taiclet,CEO
Michel Khalaf,CEO
Samuel Hazen,CEO
Andrew Sullivan,CEO
Robert Ortberg,CEO
Jospeh Creed,CEO
Robert Davis,CEO
Thomas Wilson,CEO
Albert Bourla,CEO
Arvind Krishna,CEO
Craig DeSanto,CEO
Edward Bastian,CEO
Kevin Murphy,CEO
Kirt Walker,CEO
Patrick Zammit,CEO
Scott Kirby,CEO
Ryan Lance,CEO
Ernie Herrman,CEO
Robert Michael,CEO
James Teague,CEO
Christopher Winfrey,CEO
George Holm,CEO
Robert Isom,CEO
Richard Fairbank,CEO
Charles Robbins,CEO
Enrique Lores,CEO
Donnie King,CEO
Lip-Bu Tan,CEO
Safra Catz,CEO
Hock Tan,CEO
John May,CEO
Elliott Hill,CEO
Timothy Sweeney,CEO
Wilfred Chiang,CEO
Juan Andrade,CEO
Christopher Boerner,CEO
Paul Bay,CEO
Phebe Novakovic,CEO
James Quincey,CEO
Thasunda Brown Duckett,CEO
Alan Schnitzer,CEO
David Ricks,CEO
Dara Khosrowshahi,CEO
Roger Crandall,CEO
Marc Casper,CEO
Gunjan Kedia,CEO
Michael Kasbar,CEO
Robert Ford,CEO
Corie Barry,CEO
Timothy Gerend,CEO
Kathy Warden,CEO
Joseph Zubretsky,CEO
Todd Vasos,CEO
Robin Vince,CEO
David Zaslav,CEO
Jay Debertin,CEO
Ted Sarandos,CEO
Cristiano Amon,CEO
Lawrence Culp Jr.,CEO
Vimal Kapur,CEO
Marc Benioff,CEO
Jacek Olczak,CEO
David Flitman,CEO
Paul Romanowski,CEO
Bryan DeBoer,CEO
Dirk Van de Put,CEO
Brian Niccol,CEO
Ryan McInerney,CEO
Robert Sulentic,CEO
Jonathan Jaffe,CEO
Scott Strazik,CEO
William Demchak,CEO
Jennifer Rumsey,CEO
Preston Feight,CEO
Robert Bradway,CEO
Matthew Lucey,CEO
Patrick Geraghty,CEO
Alex Chriss,CEO
Sandy Douglas,CEO
Michael Creedon, Jr.,CEO
Leon Topalian,CEO
Roger Penske,CEO
Bom Kim,CEO
Antonio Neri,CEO
Harry Sideris,CEO
Joseph Bae,CEO
Kevin Murphy,CEO
Brian Robbins,CEO
Michael Dastoor,CEO
Daniel O'Day,CEO
Tim Go,CEO
William Nash,CEO
Michael Miebach,CEO
Lawrence Coben,CEO
Sean Kerins,CEO
Lorenzo Simonelli,CEO
Robert Jordan,CEO
Peter Zaffino,CEO
Gary Dickerson,CEO
Vicki Hollub,CEO
Michael Manley,CEO
Christopher Womack,CEO
Christopher Swift,CEO
Marc Rowan,CEO
Richard Wurster,CEO
Christopher Kempczinski,CEO
Carlos Abrams-Rivera,CEO
Lisa Su,CEO
William Rogers Jr.,CEO
Kathleen Quirk,CEO
Sanjay Mehrotra,CEO
Anthony Capuano,CEO
David Gitlin,CEO
John Ketchum,CEO
William Brown,CEO
John Doyle,CEO
Patricia Poppe,CEO
Jim Vena,CEO
Brian Doubles,CEO
Rainer Blair,CEO
Philip Gallagher,CEO
Glenn Fogel,CEO
Ezra Yacob,CEO
Earl Austin Jr.,CEO
Michael Shepherd,CEO
Joseph Dominguez,CEO
William Stengel II,CEO
Christian Ulbrich,CEO
Raymond Scott,CEO
Michael Rapino,CEO
Heidi Petz,CEO
Calvin Butler Jr.,CEO
Tony Spring,CEO
Jeffrey Miller,CEO
Kevin Lobo,CEO
Tony Cheng,CEO
Ronald O'Hanley,CEO
John Engel,CEO
Pierce Norton II,CEO
Shantanu Narayen,CEO
William Westrate,CEO
Christopher Kubasik,CEO
James Conroy,CEO
Christine Leahy,CEO
Saumya Sutaria,CEO
Robert Eddy,CEO
Michael Lyons,CEO
William Gifford Jr.,CEO
Laurence Fink,CEO
Thomas Polen,CEO
Noel Wallace,CEO
Michael Hsu,CEO
Daryl Kenningham,CEO
Jennifer Parmentier,CEO
Jeffrey Harmening,CEO
Ravi Kumar S,CEO
William Fehrman,CEO
Peter Arduini,CEO
Maria Black,CEO
Lourenco Goncalves,CEO
Daniel Amos,CEO
Mark Stewart,CEO
Kevin Hogan,CEO
Thomas Palmer,CEO
Andrew Silvernail,CEO
Philip Daniele III,CEO
Ellen Cooper,CEO
Ryan Marshall,CEO
James Cracchiolo,CEO
Andrew Clyde,CEO
Jonas Prising,CEO
David Bozeman,CEO
Timothy Knavish,CEO
Pedro Pizarro,CEO
Mark Millett,CEO
Benjamin Tisch,CEO
Karsanbhai,CEO
John Zillmer,CEO
William Hornbuckle,CEO
James Burke,CEO
David Hult,CEO
DG Macpherson,CEO
Eric Slifka,CEO
Bob Pragada,CEO
Charles Magro,CEO
Rick Lanoha,CEO
Michael Mahoney,CEO
Brad Beckham,CEO
Thomas Bell,CEO
Thomas Gayner,CEO
Marc Bitzer,CEO
Andrew McMahon,CEO
Peter Jackson,CEO
Michael Rhodes,CEO
Matthew Meloy,CEO
James Breuer,CEO
Sasan Goodarzi,CEO
Troy Rudd,CEO
Penny Pennington,CEO
Michael Bender,CEO
Beth Ford,CEO
Deanna Strable-Soethout,CEO
Robert Blue,CEO
Martin Schroeter,CEO
Jon Vander Ark,CEO
Clay Gaspar,CEO
Christopher O'Herlihy,CEO
Michael O'Grady,CEO
Jamie Whisnant,CEO
Marc Miller,CEO
Darryl Button,CEO
Hamid Akhavan,CEO
Christophe Beck,CEO
Jack Fusco,CEO
John Wren,CEO
Haviv Ilan,CEO
David Burritt,CEO
Stéphane de La Faverie,CEO
Raul Nicholas Vargas Ochoa,CEO
Thibaut Mongon,CEO
Ari Bousbib,CEO
Donald Allan Jr.,CEO
Timothy Cofer,CEO
Matthew Flannery,CEO
Timothy Cawley,CEO
Adam Norwitt,CEO
Brent Shafer,CEO
Kimberly Dang,CEO
Erik Nordstrom,CEO
Frank Holding Jr.,CEO
Paul Shoukry,CEO
Timothy Archer,CEO
Harry Lawton III,CEO
Darren Rebelez,CEO
Scott Smith,CEO
James Blackledge,CEO
Anthony Guzzi,CEO
Joseph Hinrichs,CEO
Justin Jude,CEO
Judith Marks,CEO
David Bruton Smith,CEO
Martina Cheung,CEO
Leonard Schleifer,CEO
Joseph Fadool,CEO
Lachlan Murdoch,CEO
Karla Lewis,CEO
John Barrett,CEO
Scott Donnelly,CEO
Ariane Gorin,CEO
Michael Nolan,CEO
Ernest Garcia III,CEO
Raul Fernandez,CEO
Robert Berkley Jr.,CEO
René Jones,CEO
Lauren Hobart,CEO
Robert Frenzel,CEO
Timothy Spence,CEO
Stephen Schwarzman,CEO
Walker Martin,CEO
Timothy NeCastro,CEO
Wendell Weeks,CEO
Kathleen Johnson,CEO
Brian Tierney,CEO
John Hess,CEO
Adam Schechter,CEO
Tiang Yew Tan,CEO
Richard McKenney,CEO
Javier Rodriguez,CEO
Steven Cahillane,CEO
Stanley Bergman,CEO
Robert Sanchez,CEO
Tim Hingtgen,CEO
Avigal Soreq,CEO
Gerardo Norcia,CEO
Mark Pearson,CEO
Lori Koch,CEO
Rich Steinmeier,CEO
Bruce Van Saun,CEO
José Mas,CEO
Andrés Gluski,CEO
Kevin Kwilinski,CEO
Jean-Marc Gilson,CEO
Mark George,CEO
Eduardo Menezes,CEO
Shelley Simpson,CEO
Daniel Fisher,CEO
Sean Connolly,CEO
Stephen Steinour,CEO
James Snee,CEO
Joseph Nolan Jr.,CEO
William Oplinger,CEO
Andrew Marsh,CEO
Keith Demmings,CEO
Sumit Singh,CEO
Niraj Shah,CEO
Joseph Ferraro,CEO
Jeffrey Sprecher,CEO
Benito Minicucci,CEO
Malcolm Wilson,CEO
Eric Hansotia,CEO
Kathleen Mazzarella,CEO
Gavin Hattersley,CEO
Patrick Gallagher Jr.,CEO
Christopher Kastner,CEO
Erik Fyrwald,CEO
Ricardo Cardenas,CEO
Stephen Spray,CEO
Scott Boatwright,CEO
Joey Wat,CEO
Robert Goldstein,CEO
Kecia Steelman,CEO
Thomas Reeg,CEO
Jon Rousseau,CEO
William Krueger,CEO
Michele Buck,CEO
Christopher Nassetta,CEO
Bruce Bodine,CEO
Brian Chesky,CEO
Kaes Van’t Hof,CEO
Steven Vondran,CEO
Reshma Kewalramani,CEO
William McDermott,CEO
Brian Chambers,CEO
Teresa Rasmussen,CEO
Shane O'Kelly,CEO
Douglas Yearley Jr.,CEO
Jeffrey Lorberbaum,CEO
Gregory Brown,CEO
John Pfeifer,CEO
Tony Xu,CEO
Edward Pesicka,CEO
Eugene Bredow,CEO
Philippe Krakowsky,CEO
Horacio Rozanski,CEO
Michael O’Sullivan,CEO
Daniel Wall,CEO
Calvin McDonald,CEO
Stephanie Ferris,CEO
Richard Handler,CEO
Alan Armstrong,CEO
Bracken Darrell,CEO
Mikael Bratt,CEO
Rafael Santana,CEO
Ralph LaRossa,CEO
Jamie Iannone,CEO
Scott Richardson,CEO
Cameron Bready,CEO
Robert Thomson,CEO
Robert Martin,CEO
David Rawlinson II,CEO
Andrew Teno,CEO
William Newlands,CEO
James Davis,CEO
Richard Wallace,CEO
Julian Francis,CEO
John Christmann IV,CEO
Gregory Roberts,CEO
Christopher Viehbacher,CEO
Mick Beekhuizen,CEO
Christopher Caldwell,CEO
