Doug McMillon
Andrew Jassy
Stephen Hemsley
Tim Cook
David Joyner
Warren Buffett
Sundar Pichai
Darren Woods
Brian Tyler
Robert Mauch
Jamie Dimon
Ron Vachris
David Cordani
Satya Nadella
Jason Hollar
Mike Wirth
Brian Moynihan
Mary Barra
Jim Farley
Gail Boudreaux
Jane Fraser
Mark Zuckerberg
Sarah London
Ted Decker
Priscilla Almodovar
Tim Wentworth
Ron Sargent
Mark Lashier
Maryann Mannen
Hans Vestberg
Jensen Huang
David Solomon
Charles Scharf
Lane Riggs
Brian Roberts
Jon Farney
John Stankey
Michael Hutchins
Jim Rechtin
Ted Pick
Michael Fiddelke
Philip Smith
Elon Musk
Michael Dell
Ramon Laguarta
Bob Iger
Carol Tomé
Joaquin Duato
Rajesh Subramaniam
Juan Luciano
Jon Moeller
Marvin Ellison
Thomas Long
Christopher Calio
Susan Morris
Kevin Hourican
Tricia Griffith
Stephen Squeri
James Taiclet
Michel Khalaf
Samuel Hazen
Andrew Sullivan
Kelly Ortberg
Joe Creed
Robert M Davis
Thomas J Wilson
Albert Bourla
Arvind Krishna
Craig DeSanto
Ed Bastian
Kevin Murphy
Kirt Walker
Patrick Zammit
Scott Kirby
Ryan Lance
Ernie Herrman
Bob Michael
AJ Jim Teague
Christopher Winfrey
George Holm
Robert Isom
Richard Fairbank
Chuck Robbins
Enrique Lores
Donnie King
Lip-Bu Tan
Safra Catz
Hock Tan
John May
Elliott Hill
Timothy M Sweeney
Wilfred Chiang
Juan Andrade
Chris Boerner
Paul Bay
Phebe Novakovic
James Quincey
Thasunda Brown Duckett
Alan Schnitzer
David Ricks
Dara Khosrowshahi
Roger Crandall
Marc Casper
Gunjan Kedia
Michael Kasbar
Robert Ford
Corie Barry
Tim Gerend
Kathy Warden
Joe Zubretsky
Todd Vasos
Robin Vince
David Zaslav
Jay Debertin
Ted Sarandos
Cristiano Amon
Larry Culp
Vimal Kapur
Marc Benioff
Jacek Olczak
David Flitman
Paul Romanowski
Bryan DeBoer
Dirk Van de Put
Brian Niccol
Ryan McInerney
Robert Sulentic
Jonathan Jaffe
Scott Strazik
William Demchak
Jennifer Rumsey
Preston Feight
Robert Bradway
Matthew Lucey
Pat Geraghty
Alex Chriss
Sandy Douglas
Michael Creedon
Leon Topalian
Roger Penske
Bom Kim
Antonio Neri
Harry Sideris
Joseph Bae
Kevin Murphy
Brian Robbins
Michael Dastoor
Daniel O'Day
Tim Go
William Nash
Michael Miebach
Lawrence Coben
Sean Kerins
Lorenzo Simonelli
Bob Jordan
Peter Zaffino
Gary Dickerson
Vicki Hollub
Michael Manley
Christopher Womack
Christopher Swift
Marc Rowan
Rick Wurster
Chris Kempczinski
Carlos Abrams-Rivera
Lisa Su
William H Rogers Jr
Kathleen Quirk
Sanjay Mehrotra
Anthony Capuano
David Gitlin
John Ketchum
William M Brown
John Doyle
Patricia Poppe
Jim Vena
Brian Doubles
Rainer Blair
Philip Gallagher
Glenn Fogel
Ezra Yacob
Earl Austin
Michael Shepherd
Joseph Dominguez
William Stengel II
Christian Ulbrich
Raymond E Scott
Michael Rapino
Heidi Petz
Calvin G Butler Jr
Tony Spring
Jeff Miller
Kevin Lobo
Tony Cheng
Ronald P O'Hanley
John Engel
Pierce Norton II
Shantanu Narayen
Bill Westrate
Chris Kubasik
James Conroy
Christine Leahy
Saumya Sutaria
Bob Eddy
Mike Lyons
William Gifford
Larry Fink
Thomas Polen
Noel Wallace
Michael Hsu
Daryl Kenningham
Jennifer Parmentier
Jeffrey Harmening
Ravi Kumar S
William Fehrman
Peter Arduini
Maria Black
Lourenco Goncalves
Dan Amos
Mark Stewart
Kevin Hogan
Thomas Palmer
Andrew Silvernail
Philip Daniele III
Ellen Cooper
Ryan Marshall
James Cracchiolo
Andrew Clyde
Jonas Prising
David Bozeman
Timothy Knavish
Pedro Pizarro
Mark Millett
Benjamin Tisch
Karsanbhai
John Zillmer
William Hornbuckle
James Burke
David Hult
Macpherson
Eric Slifka
Bob Pragada
Charles Magro
Rick Lanoha
Michael Mahoney
Brad Beckham
Thomas Bell
Thomas Gayner
Marc Bitzer
Andrew McMahon
Peter Jackson
Michael Rhodes
Matthew Meloy
James Breuer
Sasan Goodarzi
Troy Rudd
Penny Pennington
Michael Bender
Beth Ford
Deanna Strable-Soethout
Robert Blue
Martin Schroeter
Jon Vander Ark
Clay Gaspar
Christopher O'Herlihy
Michael O'Grady
Jamie Whisnant
Marc Miller
Darryl Button
Hamid Akhavan
Christophe Beck
Jack Fusco
John Wren
Haviv Ilan
David Burritt
Stéphane de La Faverie
Raul Nicholas Vargas Ochoa
Thibaut Mongon
Ari Bousbib
Donald Allan
Timothy Cofer
Matthew Flannery
Timothy Cawley
Adam Norwitt
Brent Shafer
Kimberly Dang
Erik Nordstrom
Frank Holding
Paul Shoukry
Timothy Archer
Harry Lawton III
Darren Rebelez
Scott Smith
James Blackledge
Anthony Guzzi
Joseph Hinrichs
Justin Jude
Judith Marks
David Bruton Smith
Martina Cheung
Leonard Schleifer
Joseph Fadool
Lachlan Murdoch
Karla Lewis
John Barrett
Scott Donnelly
Ariane Gorin
Michael Nolan
Ernest Garcia III
Raul Fernandez
Robert Berkley
René Jones
Lauren Hobart
Robert Frenzel
Timothy Spence
Stephen Schwarzman
Walker Martin
Timothy NeCastro
Wendell Weeks
Kathleen Johnson
Brian Tierney
Adam Schechter
Tiang Yew Tan
Richard McKenney
Javier Rodriguez
Steven Cahillane
Stanley Bergman
Robert Sanchez
Tim Hingtgen
Avigal Soreq
Gerardo Norcia
Mark Pearson
Lori Koch
Rich Steinmeier
Bruce Van Saun
José Mas
Andrés Gluski
Kevin Kwilinski
Mark George
Eduardo Menezes
Shelley Simpson
Daniel Fisher
Sean Connolly
Stephen Steinour
James Snee
Joseph Nolan
William Oplinger
Andrew Marsh
Keith Demmings
Sumit Singh
Niraj Shah
Joseph Ferraro
Jeffrey Sprecher
Benito Minicucci
Malcolm Wilson
Eric Hansotia
Kathleen Mazzarella
Gavin Hattersley
Patrick Gallagher
Christopher Kastner
Erik Fyrwald
Ricardo Cardenas
Stephen Spray
Scott Boatwright
Joey Wat
Robert Goldstein
Kecia Steelman
Thomas Reeg
Jon Rousseau
William Krueger
Michele Buck
Christopher Nassetta
Bruce Bodine
Brian Chesky
Kaes Van’t Hof
Steven Vondran
Reshma Kewalramani
William McDermott
Brian Chambers
Teresa Rasmussen
Shane O'Kelly
Douglas Yearley
Jeffrey Lorberbaum
Gregory Brown
John Pfeifer
Tony Xu
Edward Pesicka
Eugene Bredow
Philippe Krakowsky
Horacio Rozanski
Michael O’Sullivan
Daniel Wall
Calvin McDonald
Stephanie Ferris
Rich Handler
Alan Armstrong
Bracken Darrell
Mikael Bratt
Rafael Santana
Ralph LaRossa
Jamie Iannone
Scott Richardson
Cameron Bready
Robert Thomson
Robert Martin
David Rawlinson II
Andrew Teno
William Newlands
James Davis
Richard Wallace
Julian Francis
John Christmann IV
Gregory Roberts
Christopher Viehbacher
Mick Beekhuizen
Christopher Caldwell
Todd Schneider
Tony Sarsam
John Venhuizen
Vincent Roche
Mark Costa
Milan Galik
John Turner
Joanna Geraghty
Kristin Peck
Christopher Gorman
Mark Bertolini
Brendan McCracken
Robert Steer
Gil West
Robert Greenberg
Dennis Mathew
Clay Williams
Michael Doss
Deon Stander
Adaire Fox-Martin
Joyce Mullen
Jennifer Witz
Stefan Larsson
Jason P Wells
Scott Lauber
Matthew Pine
Jennifer Johnson
Vincent Sorgi
Carl Eschenbach
Richard Tobin
Mark Kowlzan
Scott Salmirs
