CEO,Company,Website,Stock,Sector
Doug McMillon,Walmart,walmart.com,WMT,Retailing
Andrew Jassy,Amazon,amazon.com,AMZN,Retailing
Stephen Hemsley,UnitedHealth,unitedhealthgroup.com,UNH,Health Care
Tim Cook,Apple,apple.com,AAPL,Technology
David Joyner,CVS Health,cvshealth.com,CVS,Health Care
Warren Buffett,Berkshire Hathaway,berkshirehathaway.com,BRKA,Financials
Sundar Pichai,Alphabet,abc.xyz,GOOGL,Technology
Darren Woods,Exxon Mobil,exxonmobil.com,XOM,Energy
Brian Tyler,McKesson,mckesson.com,MCK,Health Care
Robert Mauch,Cencora,cencora.com,COR,Health Care
Jamie Dimon,JPMorgan Chase,jpmorganchase.com,JPM,Financials
Ron Vachris,Costco,costco.com,COST,Retailing
David Cordani,Cigna,thecignagroup.com,CI,Health Care
Satya Nadella,Microsoft,microsoft.com,MSFT,Technology
Jason Hollar,Cardinal Health,cardinalhealth.com,CAH,Health Care
Mike Wirth,Chevron,chevron.com,CVX,Energy
Brian Moynihan,Bank of America,bankofamerica.com,BAC,Financials
Mary Barra,General Motors,gm.com,GM,Motor Vehicles & Parts
Jim Farley,Ford Motor,ford.com,F,Motor Vehicles & Parts
Gail Boudreaux,Elevance Health,elevancehealth.com,ELV,Health Care
Jane Fraser,Citigroup,citigroup.com,C,Financials
Mark Zuckerberg,Meta Platforms,meta.com,META,Technology
Sarah London,Centene,centene.com,CNC,Health Care
Ted Decker,Home Depot,homedepot.com,HD,Retailing
Priscilla Almodovar,Fannie Mae,fanniemae.com,FNMA,Financials
Tim Wentworth,Walgreens Boots Alliance,walgreensbootsalliance.com,WBA,Food & Drug Stores
Ron Sargent,Kroger,thekrogerco.com,KR,Food & Drug Stores
Mark Lashier,Phillips 66,phillips66.com,PSX,Energy
Maryann Mannen,Marathon Petroleum,marathonpetroleum.com,MPC,Energy
Hans Vestberg,Verizon,verizon.com,VZ,Telecommunications
Jensen Huang,Nvidia,nvidia.com,NVDA,Technology
David Solomon,Goldman Sachs,goldmansachs.com,GS,Financials
Charles Scharf,Wells Fargo,wellsfargo.com,WFC,Financials
Lane Riggs,Valero Energy,valero.com,VLO,Energy
Brian Roberts,Comcast,comcastcorporation.com,CMCSA,Telecommunications
Jon Farney,State Farm Insurance,statefarm.com,NA,Financials
John Stankey,AT&T,att.com,T,Telecommunications
Michael Hutchins,Freddie Mac,freddiemac.com,FMCC,Financials
Jim Rechtin,Humana,humana.com,HUM,Health Care
Ted Pick,Morgan Stanley,morganstanley.com,MS,Financials
Michael Fiddelke,Target,target.com,TGT,Retailing
Philip Smith,StoneX Group,stonex.com,SNEX,Financials
Elon Musk,Tesla,tesla.com,TSLA,Motor Vehicles & Parts
Michael Dell,Dell Technologies,delltechnologies.com,DELL,Technology
Ramon Laguarta,PepsiCo,pepsico.com,PEP,"Food, Beverages & Tobacco"
