CEO,COMPANY,URL,Domain
Marvin Ellison,Lowes,https://corporate.lowes.com/investors/corporate-governance/board-of-directors/marvin-r-ellison,corporate.lowes.com
Brian Roberts,Comcast,https://www.cmcsa.com/board-directors-management/brian-roberts,www.cmcsa.com
Jason Hollar,Cardinal Health,https://cg.cardinalhealth.com/board-of-directors/Person-Details/default.aspx?ItemId=3d675a6f-89b7-4374-8157-b7db897b8315,cg.cardinalhealth.com
Jason Hollar,Cardinal Health,https://investors.davita.com/board-of-directors?item=11,investors.davita.com
Jason Hollar,Cardinal Health,https://cg.cardinalhealth.com/board-of-directors/default.aspx,cg.cardinalhealth.com
Priscilla Almodovar,Fannie Mae,https://www.fanniemae.com/about-us/corporate-governance/board-directors,www.fanniemae.com
Jon Moeller,Procter & Gamble,https://us.pg.com/board-of-directors/jon-moeller/,us.pg.com
David Solomon,Goldman Sachs,https://www.goldmansachs.com/our-firm/our-people-and-leadership/leadership/board-of-directors/david-solomon,www.goldmansachs.com
Ron Sargent,Kroger,https://ir.kroger.com/governance/board-of-directors/person-details/default.aspx?ItemId=ed8f2d4a-2958-490c-b842-cbc74641b5b9,ir.kroger.com
Ron Sargent,Kroger,https://www.jfklibrary.org/about-us/jfk-library-foundation/board-of-directors/ronald-l-sargent-chair,www.jfklibrary.org
Ron Sargent,Kroger,https://investor.fivebelow.com/governance/board-of-directors/person-details/default.aspx?ItemId=d7b8293d-bc9a-4239-9323-0f57fb7352bf,investor.fivebelow.com
Lane Riggs,Valero Energy,https://www.valero.com/about/board-directors,www.valero.com
Ramon Laguarta,PepsiCo,https://investor.visa.com/investor-relations/corporate-governance/board-of-directors/Person-Details/default.aspx?ItemId=c7cbae14-a466-44c9-a771-15eb49439a5d,investor.visa.com
John Stankey,AT&T,https://investors.att.com/corporate-governance/board-of-directors,investors.att.com
Rajesh Subramaniam,FedEx,https://us.pg.com/board-of-directors/rajesh-subramaniam/,us.pg.com
Darren Woods,Exxon Mobil,https://corporate.exxonmobil.com/corporate-governance/board-of-directors/darren-woods,corporate.exxonmobil.com
Brian Tyler,McKesson,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/brian-tyler/,www.mckesson.com
Brian Tyler,McKesson,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/,www.mckesson.com
Ryan Lance,ConocoPhillips,https://www.conocophillips.com/investor-relations/corporate-governance/board-of-directors/board-members/bio/ryan-m-lance/,www.conocophillips.com
Juan Luciano,Archer Daniels Midland,https://investors.adm.com/governance/board-of-directors/default.aspx,investors.adm.com
Michael Hutchins,Freddie Mac,https://www.freddiemac.com/governance/board-directors,www.freddiemac.com
Hans Vestberg,Verizon,https://ir.blackrock.com/governance/board-of-directors/person-details/default.aspx?ItemId=d6007249-2b1a-4f59-8478-d9327e6400a3,ir.blackrock.com
Hans Vestberg,Verizon,https://www.verizon.com/about/investors/board-directors,www.verizon.com
Doug McMillon,Walmart,https://corporate.walmart.com/about/board-of-directors,corporate.walmart.com
Kevin Hourican,Sysco,https://investors.sysco.com/corporate-governance/board-of-directors-and-committee-composition/inside-directors/kevin-p-hourican,investors.sysco.com
Tricia Griffith,Progressive Insurance,https://investors.progressive.com/governance/board-of-directors/person-details/default.aspx?itemid=1dc056e5-9828-445c-95c6-147c2681e2fc,investors.progressive.com
Tricia Griffith,Progressive Insurance,https://investors.progressive.com/governance/board-of-directors/person-details/default.aspx,investors.progressive.com
Tricia Griffith,Progressive Insurance,https://investors.progressive.com/governance/board-of-directors/default.aspx,investors.progressive.com
Maryann Mannen,Marathon Petroleum,https://www.mplx.com/About/Board-of-Directors/,www.mplx.com
Maryann Mannen,Marathon Petroleum,https://www.marathonpetroleum.com/About/Board-of-Directors/,www.marathonpetroleum.com
Robert Mauch,Cencora,https://investor.amerisourcebergen.com/governance/board-of-directors/person-details/default.aspx?itemid=3c45879d-590a-40ec-bc9b-15018156ad99,investor.amerisourcebergen.com
Richard Fairbank,Capital One,https://ir-capitalone.gcs-web.com/corporate-governance/board-of-directors,ir-capitalone.gcs-web.com
