date,brand,total,positive,neutral,negative,theme
2025-08-13,Alphabet,147,60,66,21,google chrome
2025-08-13,Amazon,100,83,3,14,amazon expands
2025-08-13,Apple,98,39,46,13,elon musk
2025-08-13,Disney,100,38,43,19,disney world
2025-08-13,Ford,99,26,54,19,ford recalls
2025-08-13,Meta,199,81,61,57,meta platforms
2025-08-13,Procter & Gamble,55,27,21,7,procter gamble
2025-08-13,Walmart,93,36,28,29,yahoo finance
2025-08-14,Meta,40,10,17,13,chicago shooting
2025-08-14,Walmart,40,19,10,11,fight naugatuck parking
2025-08-14,Apple,40,5,26,9,accidentally leaked
2025-08-14,Disney,40,18,13,9,walt world dining
2025-08-14,Ford,40,12,20,8,mustang mach-e
2025-08-14,Procter & Gamble,40,18,15,7,tariffs plans increase part
2025-08-14,Alphabet,40,12,24,4,oracle google cloud
2025-08-14,Amazon,40,34,3,3,times frenzy escalating again
