date,company,ceo,negative_count,top_headlines,article_type
2025-09-18,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-19,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-20,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-21,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-22,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-23,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-24,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-25,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-26,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-27,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-28,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-29,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-09-30,3M,William M Brown,2,3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...,ceo
2025-10-01,3M,William M Brown,1,3M shareholders approve board and executive pay - Investing.com,ceo
2025-10-02,3M,William M Brown,1,3M shareholders approve board and executive pay - Investing.com,ceo
2025-10-03,3M Company,William M Brown,1,3M shareholders approve board and executive pay - Investing.com,ceo
2025-10-04,3M Company,William M Brown,1,3M shareholders approve board and executive pay - Investing.com,ceo
2025-10-05,3M Company,William M Brown,1,3M shareholders approve board and executive pay - Investing.com,ceo
2025-10-06,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-07,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-08,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-09,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-10,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-11,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-12,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-10-13,3M Company,William M Brown,3,"3M shareholders approve board and executive pay - Investing.com|3M Annual Meeting: Shareholders Unanimously Back 11 Directors and Executive P...|3M Names Bill Brown as New CEO Amid PFAS Battles, Health Spinoff - WSJ - The ...",ceo
2025-09-19,A O Smith,Kevin J Wheeler,1,350 to lose jobs in Fergus GSW water heater plant closure - CBC,ceo
2025-10-05,A O Smith,Kevin J Wheeler,1,350 to lose jobs in Fergus GSW water heater plant closure - CBC,ceo
2025-09-18,A-Mark Precious Metals,Gregory Roberts,3,"A-Mark Closes Previously Announced Acquisition of LPM Group Limited, Marking ...|A-Mark to Acquire LPM Group Limited, One of Asia’s Largest - GlobeNewswire|8 Fortune 500 companies with high revenue, low headcount - Fortune",ceo
2025-09-19,A-Mark Precious Metals,Gregory Roberts,3,"A-Mark Closes Previously Announced Acquisition of LPM Group Limited, Marking ...|A-Mark to Acquire LPM Group Limited, One of Asia’s Largest - GlobeNewswire|8 Fortune 500 companies with high revenue, low headcount - Fortune",ceo
2025-09-20,A-Mark Precious Metals,Gregory Roberts,3,"Earnings call transcript: Amark Preci’s net loss in Q3 2025 impacts stock - I...|A-Mark Closes Previously Announced Acquisition of LPM Group Limited, Marking ...|A-Mark to Acquire LPM Group Limited, One of Asia’s Largest - GlobeNewswire",ceo
2025-09-21,A-Mark Precious Metals,Gregory Roberts,3,"Earnings call transcript: Amark Preci’s net loss in Q3 2025 impacts stock - I...|A-Mark Closes Previously Announced Acquisition of LPM Group Limited, Marking ...|A-Mark to Acquire LPM Group Limited, One of Asia’s Largest - GlobeNewswire",ceo
