date,company,positive,neutral,negative,total,neg_pct
2026-08-05,3M Company,13,31,6,50,0.120000
2026-08-05,A O Smith,12,35,3,50,0.060000
2026-08-05,A-Mark Precious Metals,20,23,5,48,0.104167
2026-08-05,ABM Industries,13,31,6,50,0.120000
2026-08-05,ADT,28,16,6,50,0.120000
2026-08-05,AECOM,24,22,4,50,0.080000
2026-08-05,AES,9,25,16,50,0.320000
2026-08-05,AGCO,10,25,15,50,0.300000
2026-08-05,AGNC Investment,21,27,2,50,0.040000
2026-08-05,AIG,8,40,2,50,0.040000
2026-08-05,AMC Entertainment,34,13,3,50,0.060000
2026-08-05,AMC Networks,8,32,10,50,0.200000
2026-08-05,AMN Healthcare Services,17,29,4,50,0.080000
2026-08-05,APA,13,33,4,50,0.080000
2026-08-05,APi Group,14,32,4,50,0.080000
2026-08-05,ARKO,13,35,2,50,0.040000
2026-08-05,ASGN,4,41,5,50,0.100000
2026-08-05,AT&T,13,31,6,50,0.120000
2026-08-05,ATI Inc,21,26,3,50,0.060000
2026-08-05,AbbVie,16,27,7,50,0.140000
2026-08-05,Abbott Laboratories,21,22,7,50,0.140000
2026-08-05,Abercrombie & Fitch,17,29,4,50,0.080000
2026-08-05,Academy Sports and Outdoors,15,32,3,50,0.060000
2026-08-05,Acadia Healthcare,9,35,6,50,0.120000
2026-08-05,Ace Hardware,18,22,10,50,0.200000
2026-08-05,Acuity Inc,14,26,10,50,0.200000
2026-08-05,Adams Resources & Energy,11,4,1,16,0.062500
2026-08-05,AdaptHealth,6,27,17,50,0.340000
2026-08-05,Adobe,16,24,10,50,0.200000
2026-08-05,Advance Auto Parts,19,26,5,50,0.100000
2026-08-05,Advanced Drainage Systems,44,5,1,50,0.020000
2026-08-05,Advanced Micro Devices,43,4,3,50,0.060000
2026-08-05,Advantage Solutions,40,8,2,50,0.040000
2026-08-05,Aflac,16,29,5,50,0.100000
2026-08-05,Agilent Technologies,15,27,8,50,0.160000
2026-08-05,Agilon Health,16,30,4,50,0.080000
2026-08-05,Air Lease,14,31,5,50,0.100000
2026-08-05,Air Products & Chemicals,13,34,3,50,0.060000
2026-08-05,Airbnb,11,20,19,50,0.380000
2026-08-05,Akamai Technologies,18,27,5,50,0.100000
2026-08-05,Alaska Air,18,24,8,50,0.160000
2026-08-05,Albemarle Corporation,12,27,11,50,0.220000
2026-08-05,Albertsons,13,19,18,50,0.360000
2026-08-05,Alcoa Corporation,12,29,9,50,0.180000
2026-08-05,Alexandria Real Estate Equities,20,17,13,50,0.260000
2026-08-05,Alight Solutions,21,25,4,50,0.080000
2026-08-05,Align Technology,19,26,5,50,0.100000
2026-08-05,Allegiant Travel Company,20,29,1,50,0.020000
2026-08-05,Alliance Resource Partners,14,33,3,50,0.060000
2026-08-05,Alliant Energy,39,11,0,50,0.000000
2026-08-05,Allison Transmission,16,32,2,50,0.040000
2026-08-05,Allstate,33,14,3,50,0.060000
2026-08-05,Ally Financial,14,31,5,50,0.100000
2026-08-05,Alpha Metallurgical Resources,7,33,10,50,0.200000
2026-08-05,Alphabet,12,31,7,50,0.140000
2026-08-05,Altice USA,8,24,18,50,0.360000
2026-08-05,Altria,11,32,7,50,0.140000
2026-08-05,Amazon,17,25,8,50,0.160000
2026-08-05,Ameren,14,25,11,50,0.220000
2026-08-05,American Airlines,11,26,13,50,0.260000
2026-08-05,American Axle & Manufacturing,13,25,12,50,0.240000
2026-08-05,American Eagle Outfitters,17,30,3,50,0.060000
2026-08-05,American Electric Power,8,29,13,50,0.260000
2026-08-05,American Express,25,24,1,50,0.020000
2026-08-05,American Family Insurance,33,14,3,50,0.060000
2026-08-05,American Financial Group,10,38,2,50,0.040000
2026-08-05,American Tower,18,28,4,50,0.080000
2026-08-05,American Water Works,13,33,4,50,0.080000
2026-08-05,Americold Realty Trust,38,9,3,50,0.060000
2026-08-05,Ameriprise Financial,13,31,6,50,0.120000
2026-08-05,Ametek,18,30,2,50,0.040000
2026-08-05,Amgen,14,22,14,50,0.280000
2026-08-05,Amica Mutual Insurance,16,31,3,50,0.060000
2026-08-05,Amkor Technology,17,28,5,50,0.100000
2026-08-05,Amphenol,23,23,4,50,0.080000
2026-08-05,Analog Devices,17,28,5,50,0.100000
2026-08-05,Antero Resources,9,38,3,50,0.060000
2026-08-05,Anywhere Real Estate Inc,12,29,9,50,0.180000
2026-08-05,Apollo Global Management,12,34,4,50,0.080000
2026-08-05,AppLovin,15,32,3,50,0.060000
2026-08-05,Apple,13,28,9,50,0.180000
2026-08-05,Applied Industrial Technologies,13,35,2,50,0.040000
2026-08-05,Applied Materials,11,36,3,50,0.060000
2026-08-05,AptarGroup,20,29,1,50,0.020000
2026-08-05,Aramark,14,21,15,50,0.300000
2026-08-05,ArcBest,8,30,12,50,0.240000
2026-08-05,Arch Resources,29,13,8,50,0.160000
2026-08-05,Archer Daniels Midland,18,29,3,50,0.060000
2026-08-05,Ares Management,15,35,0,50,0.000000
2026-08-05,Arista Networks,14,27,9,50,0.180000
2026-08-05,Arrow Electronics,22,25,3,50,0.060000
2026-08-05,Arthur J Gallagher,12,35,3,50,0.060000
2026-08-05,Asbury Automotive Group,13,34,3,50,0.060000
2026-08-05,Assurant,8,40,2,50,0.040000
2026-08-05,Atkore,15,28,7,50,0.140000
2026-08-05,Atlassian,15,30,5,50,0.100000
2026-08-05,Atmos Energy,37,7,6,50,0.120000
2026-08-05,Auto-Owners Insurance,7,36,7,50,0.140000
2026-08-05,AutoNation,12,29,9,50,0.180000
2026-08-05,AutoZone,14,27,9,50,0.180000
2026-08-05,Autodesk,20,29,1,50,0.020000
2026-08-05,Autoliv,19,28,3,50,0.060000
2026-08-05,Automatic Data Processing,17,31,2,50,0.040000
2026-08-05,AvalonBay Communities,14,34,2,50,0.040000
2026-08-05,Avantor,14,33,3,50,0.060000
