CEO,Company,CEO Alias,Websites,Stock,Sector
Doug McMillon,walmart,Doug McMillon Walmart,walmart.com|walmart.org|walmartconnect.com,WMT,Retailing
Andy Jassy,amazon,Andy Jassy Amazon,aboutamazon.com|amazon.com|amazon.jobs,AMZN,Retailing
Stephen Hemsley,unitedhealth,Stephen Hemsley UnitedHealth,member.uhc.com|uhc.com|unitedhealthgroup.com,UNH,Health Care
Tim Cook,apple,Tim Cook Apple,apple.com,AAPL,Technology
David Joyner,cvs health,David Joyner CVS Health,aetnacvshealth.com|care.cvs.com|cvs.com|cvshealth.com,CVS,Health Care
Warren Buffett,berkshire hathaway,Warren Buffett Berkshire Hathaway,berkshirehathaway.com|bhhc.com|bhhs.com,BRKA,Financials
Sundar Pichai,alphabet,Sundar Pichai Alphabet,abc.xyz|google.com,GOOGL,Technology
Darren Woods,exxon mobil,Darren Woods Exxon Mobil,corporate.exxonmobil.com|exxon.com,XOM,Energy
Brian Tyler,mckesson,Brian Tyler McKesson,mckesson.com|mckesson.wd3.myworkdayjobs.com,MCK,Health Care
Robert Mauch,cencora,Robert Mauch Cencora,cencora.com,COR,Health Care
Jamie Dimon,jpmorgan chase,Jamie Dimon JPMorgan Chase,chase.com|jpmorgan.com|jpmorganchase.com,JPM,Financials
Ron Vachris,costco,Ron Vachris Costco,costco.com|costcotravel.com,COST,Retailing
David Cordani,cigna,David Cordani Cigna,cigna.com|cignaglobal.com|cignahealthbenefits.com|jobs.thecignagroup.com|provider.cignaenvoy.com|thecignagroup.com,CI,Health Care
Satya Nadella,microsoft,Satya Nadella Microsoft,microsoft.com,MSFT,Technology
Jason Hollar,cardinal health,Jason Hollar Cardinal Health,cardinalhealth.ca|cardinalhealth.com|jobs.cardinalhealth.com,CAH,Health Care
Mike Wirth,chevron,Mike Wirth Chevron,chevron.com|chevronwithtechron.com,CVX,Energy
Brian Moynihan,bank of america,Brian Moynihan Bank of America,bankofamerica.com|business.bofa.com,BAC,Financials
Mary Barra,general motors,Mary Barra General Motors,gm.com|gmc.com,GM,Motor Vehicles & Parts
Jim Farley,ford motor,Jim Farley Ford Motor,ford.com,F,Motor Vehicles & Parts
Gail Boudreaux,elevance health,Gail Boudreaux Elevance Health,elevancehealth.com|elevancehealth.foundation|elevancehealth.wd1.myworkdayjobs.com,ELV,Health Care
Jane Fraser,citigroup,Jane Fraser Citigroup,citigroup.com,C,Financials
Mark Zuckerberg,meta platforms,Mark Zuckerberg Meta Platforms,investor.atmeta.com|meta.com|metacareers.com,META,Technology
Sarah London,centene,Sarah London Centene,centene.com,CNC,Health Care
Ted Decker,home depot,Ted Decker Home Depot,homedepot.com,HD,Retailing
Priscilla Almodovar,fannie mae,Priscilla Almodovar Fannie Mae,fanniemae.com,FNMA,Financials
Ron Sargent,kroger,Ron Sargent Kroger,kroger.com|krogerfamilycareers.com|thekrogerco.com,KR,Food & Drug Stores
Mark Lashier,phillips 66,Mark Lashier Phillips 66,myphillips66card.com|phillips66.com|phillips66gas.com|phillips66lubricants.com,PSX,Energy
Maryann Mannen,marathon petroleum,Maryann Mannen Marathon Petroleum,marathonpetroleum.com,MPC,Energy
Dan Schulman,verizon,Dan Schulman Verizon,mblogin.verizonwireless.com|verizon.com|verizonconnect.com,VZ,Telecommunications
Jensen Huang,nvidia,Jensen Huang Nvidia,nvidia.com|nvidianews.nvidia.com,NVDA,Technology
David Solomon,goldman sachs,David Solomon Goldman Sachs,am.gs.com|goldmansachs.com,GS,Financials
Charles Scharf,wells fargo,Charles Scharf Wells Fargo,welcome.wf.com|wellsfargo.com|wellsfargoadvisors.com|wellsfargojobs.com,WFC,Financials
Lane Riggs,valero energy,Lane Riggs Valero Energy,investorvalero.com|valero.com,VLO,Energy
Brian Roberts,comcast,Brian Roberts Comcast,business.comcast.com|comcastadvertising.com|comcastrise.com,CMCSA,Telecommunications
Jon Farney,state farm insurance,Jon Farney State Farm Insurance,statefarm.com,,Financials
John Stankey,at&t,John Stankey AT&T,att.com|att.jobs|currently.att.yahoo.com,T,Telecommunications
Michael Hutchins,freddie mac,Michael Hutchins Freddie Mac,freddiemac.com,FMCC,Financials
Jim Rechtin,humana,Jim Rechtin Humana,humana.com|humanafoundation.org|humanamilitary.com,HUM,Health Care
Ted Pick,morgan stanley,Ted Pick Morgan Stanley,login.morganstanleyclientserv.com|morganstanley.com,MS,Financials
Michael Fiddelke,target corporation,Michael Fiddelke Target Corporation,corporate.target.com|target.com,TGT,Retailing
Philip Smith,stonex group,Philip Smith StoneX Group,ir.stonex.com|stonex.com,SNEX,Financials
Elon Musk,tesla,Elon Musk Tesla,tesla.com,TSLA,Motor Vehicles & Parts
Michael Dell,dell technologies,Michael Dell Dell Technologies,dell.com|delltechnologiescapital.com|investors.delltechnologies.com|jobs.dell.com,DELL,Technology
Ramon Laguarta,pepsico,Ramon Laguarta PepsiCo,mypepsico.com|pepsico.com|pepsicojobs.com|pepsicopartners.com,PEP,"Food, Beverages & Tobacco"
